1;Apel;100;100000;2019-12-09
2;Apel;100;100000;2019-12-10
3;Apel;100;100000;2019-12-10
4;Apel;20;60000;2019-12-10
5;Apel;2;6000;2019-12-14
6;Apel;2;6000;2019-12-14
7;Sapi;50;250000;2019-12-15
8;Sapi;50;250000;2019-12-15
9;Sapi;200;1000000;2019-12-15
10;Sapi;20;100000;2019-12-15
11;Sapi;20;100000;2019-12-15
12;Sapi;200;1000000;2019-12-15
13;Sapi;2;10000;2019-12-15
14;Sapi;20;100000;2019-12-15
15;Sapi;20;100000;2019-12-15
16;Sapi;20;100000;2019-12-15
17;Sapi;20;100000;2019-12-15
18;Sapi;20;100000;2019-12-15
19;Sapi;20;100000;2019-12-15
20;Sapi;300;1500000;2019-12-15
21;Sapi;80;400000;2019-12-15
